id,title,release date,genre,vote average,popularity,poster,original language,adult
848278,Jurassic Hunt,2021-08-26,28 878 53,5.0,285.693,/bZnOioDq1ldaxKfUoj3DenHU7mp.jpg,en,0
632357,The Unholy,2021-03-31,27,6.9,285.448,/bShgiEQoPnWdw4LBrYT5u18JF34.jpg,en,0
741636,Bloodthirsty,2021-04-23,27,6.6,284.347,/gCQm6zqkRiyrezyYK02NymDlybJ.jpg,en,0
573164,Eggs Run,2021-08-12,16 35,8.1,279.506,/wrlQnKHLCBheXMNWotyr5cVDqNM.jpg,es,0
315635,Spider-Man: Homecoming,2017-07-05,28 12 878 18,7.4,278.068,/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,en,0
725273,Solitary,2020-08-31,878,5.8,276.307,/ApwmbrMlsuOay5rXQA4Kbz7qJAl.jpg,en,0
846214,The Simpsons: The Good the Bart and the Loki,2021-07-07,16 35 10751,7.6,275.454,/rtMdtzywcAGOrF6t8fbxJBqpdcq.jpg,en,0
672322,Rurouni Kenshin: The Beginning,2021-06-04,28 12 18,7.9,270.358,/rODS466qSdrwMlGdbUwPENhDN2c.jpg,ja,0
878962,Sharkdog’s Fintastic Halloween,2021-10-15,16 14 10751,4.0,267.525,/mtPok0matqyS25yBXnNmKt6NfUU.jpg,en,0
375211,Marvel Knights: Eternals,2014-09-16,16,6.6,264.109,/wVWDDzB0sWEIEMh0TXgqRa8X65o.jpg,en,0
857702,LEGO Star Wars Terrifying Tales,2021-10-01,10751 16 878 35,6.7,263.272,/fYiaBZDjyXjvlY6EDZMAxIhBO1I.jpg,en,0
861057,Swim,2021-08-13,27 28,7.4,262.481,/pBSqH6avxduNAnXhyIkcAfcUMJ0.jpg,en,0
13811,Knowing,2009-03-19,28 9648 878 53,6.1,260.702,/nO9gTGDNdYnPr9ILKNQmk6EVTVR.jpg,en,0
825997,Rogue Hostage,2021-06-11,28 53,6.4,258.484,/ePYagdzUwKpzTP73n9CD3D1MFn.jpg,en,0
522444,Black Water: Abyss,2020-07-09,27 53 12 9648,5.1,257.389,/95S6PinQIvVe4uJAd82a2iGZ0rA.jpg,en,0
592350,My Hero Academia: Heroes Rising,2019-12-20,16 28 14 12,8.5,350.337,/zGVbrulkupqpbwgiNedkJPyQum4.jpg,ja,0
525660,Dynasty Warriors,2021-04-29,28 12 14,6.7,345.459,/7BCTdek5LFHglcgl7shsm7igJAH.jpg,cn,0
755812,Miraculous World: New York United HeroeZ,2020-11-21,16 10751 35 12 10770,8.3,342.785,/19kfvGktytDZInUmpv3WlaHoTxP.jpg,fr,0
813258,Monster Pets: A Hotel Transylvania Short,2021-04-02,16 35 14,7.5,339.29,/tuzkEyCPwf5O56fDjGNerIA8hxT.jpg,en,0
527774,Raya and the Last Dragon,2021-03-03,10751 14 16 28 12,8.1,329.821,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,en,0
619297,Sweet Girl,2021-08-18,28,6.9,325.652,/cP7odDzzFBD9ycxj2laTeFWGLjD.jpg,en,0
529203,The Croods: A New Age,2021-03-25,16 10751 12 14 35,7.6,325.358,/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg,en,0
706972,Narco Sub,2021-01-22,28 18 80,7.1,325.044,/7p0O4mKYLIhU2E5Zcq9Z3vOZ4e9.jpg,en,0
671,Harry Potter and the Philosopher's Stone,2001-11-16,12 14,7.9,320.964,/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,en,0
669671,Night Teeth,2021-10-20,27 53 28,6.7,320.322,/4niEFGAUEz3GUqwk9Y2y4aAERhE.jpg,en,0
299536,Avengers: Infinity War,2018-04-25,12 28 878,8.3,319.036,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,en,0
482373,Don't Breathe 2,2021-08-12,53 27,7.6,317.258,/r7HEBkkRN93d3eFBZgPJfRaob5p.jpg,en,0
